player_name,salary
Moses Brown,"$1,933,909"
Wesley Iwundu,"$1,926,834"
Jose Alvarado,"$1,925,406"
Damion Lee,"$1,910,860"
PJ Dozier,"$1,910,860"
Killian Tillie,"$1,901,625"
Tyrell Terry,"$1,869,438"
Larry Sanders,"$1,865,546"
Carsen Edwards,"$1,859,365"
Shake Milton,"$1,846,738"
Jalen Brunson,"$1,802,057"
Mitchell Robinson,"$1,802,057"
Tony Bradley,"$1,789,256"
Frank Ntilikina,"$1,789,256"
Semi Ojeleye,"$1,789,256"
Malik Monk,"$1,789,256"
Dennis Smith,"$1,789,256"
Didi Louzada,"$1,786,878"
Kevin Porter,"$1,782,621"
Jalen McDaniels,"$1,782,621"
Terance Mann,"$1,782,621"
Jaylen Nowell,"$1,782,621"
Naz Reid,"$1,782,621"
Isaiah Roby,"$1,782,621"
Daniel Gafford,"$1,782,621"
Nicolas Claxton,"$1,782,621"
Cody Martin,"$1,782,621"
Dean Wade,"$1,782,621"
Vlatko Cancar,"$1,782,621"
Bruno Fernando,"$1,782,621"
Luguentz Dort,"$1,782,621"
KZ Okpala,"$1,782,621"
Eric Paschall,"$1,782,621"
Chimezie Metu,"$1,762,796"
Yuta Watanabe,"$1,762,796"
Armoni Brooks,"$1,739,065"
Thanasis Antetokounmpo,"$1,729,217"
Keita Bates-Diop,"$1,729,217"
Sviatoslav Mykhailiuk,"$1,729,217"
Isaiah Hartenstein,"$1,729,217"
Moritz Wagner,"$1,729,217"
Isaac Bonga,"$1,729,217"
Juan Toscano-Anderson,"$1,701,593"
Oshae Brissett,"$1,701,593"
Herb Jones,"$1,700,000"
Gabriel Deck,"$1,690,507"
Javonte Green,"$1,669,178"
Max Strus,"$1,669,178"
Gabe Vincent,"$1,669,178"
Matt Thomas,"$1,669,178"
Gary Payton II,"$1,669,178"
Robert Woodard,"$1,619,015"
Lance Stephenson,"$1,614,825"
Deividas Sirvydis,"$1,603,559"
Daniel Oturu,"$1,603,559"
Kevin Pangos,"$1,569,178"
Bismack Biyombo,"$1,518,213"
Nick Richards,"$1,517,981"
Lamar Stevens,"$1,517,981"
KJ Martin,"$1,517,981"
Xavier Tillman,"$1,517,981"
Naji Marshall,"$1,517,981"
Isaiah Joe,"$1,517,981"
Paul Reed,"$1,517,981"
Tre Jones,"$1,517,981"
Vernon Carey,"$1,517,981"
Jae'Sean Tate,"$1,517,981"
Sam Merrill,"$1,517,981"
Jordan Nwora,"$1,517,981"
CJ Elleby,"$1,517,981"
Elijah Hughes,"$1,517,981"
Jahmi'us Ramsey,"$1,517,981"
Anthony Gill,"$1,517,981"
Isaiah Todd,"$1,500,000"
Saben Lee,"$1,489,065"
Omer Yurtseven,"$1,489,065"
JR Smith,"$1,456,667"
Stanley Johnson,"$1,368,998"
Duane Washington Jr,"$1,346,676"
Aaron Wiggins,"$1,305,761"
Marquese Chriss,"$1,292,900"
JT Thor,"$1,250,000"
DeMarre Carroll,"$1,242,340"
Jabari Parker,"$1,168,286"
Alfonzo McKinnie,"$1,090,007"
Zhaire Smith,"$1,068,200"
Jason Preston,"$1,062,303"
Isaiah Livers,"$1,057,260"
Guerschon Yabusele,"$1,039,080"
Denzel Valentine,"$1,005,633"
Alize Johnson,"$1,003,740"
Kyle Singler,"$999,200"
Kelan Martin,"$993,760"
Miye Oni,"$946,261"
Ayo Dosunmu,"$925,258"
Marko Simonovic,"$925,258"
BJ Boston,"$925,258"
Austin Reaves,"$925,258"
Miles McBride,"$925,258"
Vit Krejci,"$925,258"
Charles Bassey,"$925,258"
Greg Brown,"$925,258"
Jock Landale,"$925,258"
Jared Butler,"$925,258"
Luka Garza,"$925,258"
Dalano Banton,"$925,258"
Daishen Nix,"$923,078"
Isaiah Thomas,"$910,926"
Terry Taylor,"$895,125"
Mamadi Diakite,"$869,078"
Caleb Martin,"$844,011"
Brad Wanamaker,"$814,918"
Luke Kornet,"$812,364"
Wayne Selden,"$812,363"
Gary Clark,"$811,213"
Ryan Arcidiacono,"$774,727"
Trendon Watford,"$768,830"
Patrick Patterson,"$737,067"
Devontae Cacok,"$726,128"
Admiral Schofield,"$723,741"
Ishmail Wainright,"$707,893"
