PLAYER_ID,LEAGUE_ID,Team_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
1629659,00,0,131,24,22.1,3.5,8.1,0.437,0.7,2.5,0.276,1.5,2.0,0.783,0.5,2.3,2.8,2.6,1.0,0.4,1.5,2.2,9.3
1627863,00,0,204,98,24.4,2.9,6.8,0.427,1.5,4.2,0.366,1.2,1.5,0.764,0.6,2.9,3.6,1.3,0.7,0.4,0.8,1.7,8.5
2730,00,0,1242,1078,31.8,5.7,9.7,0.587,0.0,0.1,0.214,4.3,7.6,0.567,3.3,8.4,11.8,1.3,0.9,1.8,2.7,3.1,15.7
1630210,00,0,68,1,5.6,1.2,3.0,0.382,0.7,2.0,0.341,0.4,0.5,0.844,0.0,0.4,0.5,0.4,0.2,0.0,0.4,0.6,3.4
1628989,00,0,274,216,29.6,4.3,10.1,0.431,2.1,5.4,0.379,0.7,0.9,0.788,0.6,2.9,3.5,3.2,0.9,0.4,1.3,2.4,11.4
1630190,00,0,54,4,9.2,1.1,3.2,0.328,0.6,2.2,0.28,0.2,0.2,0.769,0.1,1.1,1.2,0.5,0.3,0.2,0.4,0.7,2.9
1630624,00,0,2,0,4.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0
1629631,00,0,139,133,30.7,4.7,10.8,0.434,1.5,4.3,0.359,2.2,2.8,0.785,0.6,3.5,4.1,1.6,0.7,0.4,1.4,2.8,13.2
1630538,00,0,69,4,19.0,3.3,8.3,0.403,1.9,5.2,0.366,1.6,1.8,0.856,0.2,2.5,2.7,2.8,0.6,0.3,1.2,2.2,10.1
201586,00,0,903,697,27.6,5.0,9.8,0.513,0.7,1.9,0.36,1.4,1.8,0.758,2.1,5.1,7.2,0.8,0.4,1.9,1.3,2.7,12.1
2738,00,0,1223,784,32.2,4.1,8.9,0.463,0.9,2.7,0.33,2.3,3.3,0.709,0.9,4.0,4.9,4.2,1.4,0.5,1.8,1.8,11.4
204060,00,0,590,313,25.7,3.1,6.8,0.449,1.8,4.4,0.408,0.7,0.9,0.768,0.3,2.9,3.2,3.8,0.9,0.2,1.6,1.9,8.6
1627742,00,0,368,329,32.8,6.7,14.6,0.461,1.3,3.7,0.36,3.8,4.9,0.769,0.8,4.4,5.2,3.8,0.7,0.6,2.4,2.4,18.5
202681,00,0,611,611,34.0,8.5,18.1,0.47,2.2,5.7,0.393,3.8,4.4,0.882,0.8,3.1,3.8,5.7,1.3,0.4,2.6,2.3,23.1
1628371,00,0,136,106,25.8,3.5,8.0,0.435,1.0,3.0,0.33,1.4,1.7,0.797,1.3,4.2,5.4,1.1,1.1,1.5,1.1,2.0,9.3
1628402,00,0,213,31,18.2,3.1,7.3,0.422,1.2,3.5,0.333,1.2,1.5,0.786,0.4,1.5,1.8,1.0,0.4,0.1,0.8,1.5,8.5
1630543,00,0,36,15,15.0,3.2,5.7,0.563,0.1,0.4,0.313,1.7,2.4,0.682,1.7,2.5,4.1,0.3,0.7,1.4,1.1,2.6,8.3
